
"Version 1.08","HX-4000-03 3.20"
"Numéro 001","Numéro de Branche 0001","POS NAME"
"Rapports-X","Articles [1er Niveau]","2017-10-09T15:40:00+09:00"

"Code","Description","Quantité","Montant"
"000000000000000001","SHAWARMA 3ICH","1000","2900"
"000000000000000004","BAGUETTE AUX 3 CEREALES","2000","23000"
"000000000000000005","SHAWARMA NICOISE","2000","8400"
"000000000000000007","","3000","9000"
"000000000000000008","","2000","9000"
"000000000000000010","","5000","22500"
"000000000000000011","","2000","3600"
"000000000000000013","","3000","9000"
"000000000000000014","","1000","3000"
"000000000000000027","MUSHROOM BURGER","1000","3900"
"000000000000000028","BBQ SMOK BURGER","1000","3900"
"000000000000000029","FIRE BURGER","1000","3500"
"000000000000000048","SHISH TAWOK SANDWICH","2000","7800"
"000000000000000049","CHICKEN FAJITAS","2000","7800"
"000000000000000050","ALFREDO CHICKEN","1000","3900"
"000000000000000051","SUPER CRUNCHY","1000","3900"
"000000000000000052","SUPER CRUNCHY SPICY","1000","3900"
"000000000000000069","BEEF FAJITAS","1000","3500"
"000000000000000071","FILET PEPPER","1000","4500"
"000000000000000089","SHISH TAWOK EL MAHROUSA","1000","4900"
"000000000000000090","MX GRILL","2000","13000"
"000000000000000091","SMOK CHICKEN","2000","11800"
"000000000000000092","CORDON BLEU ROLLER","2000","11000"
"000000000000000109","ORANGE JUICE","1000","1000"
"000000000000000110","MANGO JUICE","1000","1500"
"000000000000000111","STRAWBERRY JUICE","1000","1500"
"000000000000000112","OULMES","1000","1000"
"000000000000000127","SALADE MIX","1000","2000"
"000000000000000128","GREEN SALADE","1000","2000"
"000000000000000129","SALADE MAISON","1000","2000"
"000000000000000130","SALADE NICOISE","1000","2000"
"","ALL TOTAL","48.000","1737.00"

"Numéro de Ticket","Numéro de rapport X","Numéro de rapport Z1","Numéro de rapport Z2"
"16","7","2","0"
