
"Version 1.07","HX-4000-03 3.00"
"Numéro 001","Numéro de Branche 0001","POS NAME"
"Rapports-X","Articles [1er Niveau]","2017-11-22T13:50:00+09:00"

"Code","Description","Quantité","Montant"
"000000000000000002","OPERA CITRON VERT","1000","1600"
"000000000000000004","CHEESE CAKE FRAMBOISE","1000","2000"
"000000000000000006","HAMBURGER INDIVIDUEL","2000","4000"
"000000000000000010","ROCHER","1000","1600"
"000000000000000011","JASSMINE","1000","1800"
"000000000000000024","EXPRESSIO","3000","5400"
"000000000000000026","PROVENÇAL","1000","2000"
"000000000000000032","SACHER FRAMBOISE","4000","7200"
"000000000000000035","TARTE FRUITS","2000","2800"
"000000000000000036","TARTE FRAMBOISE","2000","3200"
"000000000000000037","TARTE FRAISE","1000","1600"
"000000000000000039","TARTE CITRON","4000","6400"
"000000000000000040","TARTE AMANDE","1000","1600"
"000000000000000056","MILLE-FEUILLE VANILLE","9000","10800"
"000000000000000063","ECLAIRE CHOCOLAT","1000","1200"
"000000000000000084","FONDANT CHOCOLAT","2000","2400"
"000000000000000094","TIGRE","2000","1600"
"000000000000000095","FINANCIER","3000","2400"
"000000000000000098","BROWNEIS","3000","4200"
"000000000000000102","MADELEINE PRALINE","2000","2000"
"000000000000000103","Plt MOELEUX GM","1000","18000"
"000000000000000127","MACARON PF","19000","9500"
"000000000000000137","PLATEAU SABLE GM","2000","22000"
"000000000000000138","PLATEAU SABLE PM","1000","6000"
"000000000000000141","PLATEAU TARTELETTE PM","1000","10000"
"000000000000000151","BOULE DE GLACE","4000","2800"
"000000000000000167","SUCETTE TUTTI FRUITI","1000","500"
"000000000000000168","SUCETTE ANIM'S","4000","5600"
"000000000000000190","BAGUETTE NORMAL","393000","47160"
"000000000000000191","PAIN ROND NORMAL","81000","9720"
"000000000000000192","PAIN SANDWICH NORMAL","106000","10600"
"000000000000000193","MINI PAIN ROND NORMAL","178000","14240"
"000000000000000194","PAIN PANINI ","29000","3480"
"000000000000000195","PAIN DE MIE BLANC NORMAL","9000","20700"
"000000000000000196","PAIN DE MIE COMPLET NORMAL","10000","26000"
"000000000000000210","BAGUETTE SEMOULE","50000","15000"
"000000000000000211","PAIN SEMOULE","3000","900"
"000000000000000212","MINI PAIN SEMOULE","258000","38700"
"000000000000000213","PAIN SANDWICH SEMOULE","57000","8550"
"000000000000000215","BAGUETTE COMPLET 100%","24000","9600"
"000000000000000216","PAIN COMPLET 50%","6000","1800"
"000000000000000217","MINI PAIN COMPLET 100%","212000","42400"
"000000000000000219","PAIN MAISON","4000","1200"
"000000000000000220","MINI PAIN MAISON","1000","200"
"000000000000000221","MINI PAIN ORGE","101000","20200"
"000000000000000222","MINI PAIN MAIS","22000","4400"
"000000000000000236","BAGUETTE A L'ANCIEN NATURE","22000","5500"
"000000000000000237","BAGUETTE A L'ANCIEN PAVOT","12000","4800"
"000000000000000238","BAGUETTE A L'ANCIEN SESAME","22000","8800"
"000000000000000239","BAGUETTE A L'ANCIEN OLIVE","23000","10350"
"000000000000000240","PAIN SAND ANC NATURE","15000","2250"
"000000000000000241","PAIN SAND ANC PAVOT","27000","5400"
"000000000000000242","PAIN SAND ANC SESAME","12000","2400"
"000000000000000243","PAIN SAND ANC OLIVE","1000","200"
"000000000000000244","BENOITON FROMAGE","4000","1200"
"000000000000000249","PISTOLET SESAME","1000","100"
"000000000000000250","PISTOLET NATURE","23000","2300"
"000000000000000251","PISTOLET PAVOT","3000","300"
"000000000000000252","PISTOLET OLIVE","11000","1100"
"000000000000000255","PAIN FLAMAND COMPLET SON","1000","600"
"000000000000000256","PAIN FLAMAND 6 CEREALE","2000","1600"
"000000000000000259","PAIN FLAMAND AU RAISINS","1000","800"
"000000000000000261","BAGUETTE COMPAGNE","1000","300"
"000000000000000275","KRACHEL MINI","19000","2850"
"000000000000000304","HARCHA NORMAL","7000","1750"
"000000000000000306","HARCHA JBEN","7000","2450"
"000000000000000307","HARCHA OLIVE ORIGAN","27000","9450"
"000000000000000313","MELAOUI","48000","14400"
"000000000000000314","BATBOUTE NORMAL","3000","900"
"000000000000000326","BELDI /KG","1300","23400"
"000000000000000327","SABLE /KG","3000","24000"
"000000000000000328","MAAMOULE /KG","1000","12000"
"000000000000000330","fekkas jui","1500","33000"
"000000000000000346","NEM'S FRUIT DE MER","2000","2400"
"000000000000000352","BRIWATE VH","1000","1000"
"000000000000000367","PASTILA POULET","1000","1800"
"000000000000000368","PASTILLA FRUIT DE MER","2000","4400"
"000000000000000370","BEBE SANDWICH POULET","2000","1600"
"000000000000000386","PAIN CHOCOLAT","44000","22000"
"000000000000000387","MINI PAIN CHOCOLAT","146000","36500"
"000000000000000388","PAIN CHOCO COMPLET","15000","9000"
"000000000000000389","MINI PAIN CHOCO COMPLET","42000","12600"
"000000000000000390","CROISSANT SIMPLE","35000","14000"
"000000000000000391","MINI CROISSANT","56000","11200"
"000000000000000392","CROISSANT COMPLET","11000","5500"
"000000000000000393","MINI CROISSANT COMPLET","40000","10000"
"000000000000000394","SHNECK RAISIN","46000","25300"
"000000000000000395","MINI SHNACK RAISIN","20000","6000"
"000000000000000398","FOUREE AMANDE AMANDE","43000","25800"
"000000000000000399","MINI FOUREE AMANDE","84000","25200"
"000000000000000404","BRIOCHE NATURE","8000","2000"
"000000000000000405","BRIOCHE CHOCOLAT","9000","2700"
"000000000000000409","BAGUETTE SUCRE","3000","900"
"000000000000000411","SHNACK CHOCOLAT","29000","17400"
"000000000000000412","MINI SHNAK CHOCOLAT","49000","14700"
"000000000000000416","PAIN SUISSE","21000","12600"
"000000000000000417","MINI PAIN SUISSE","37000","11100"
"000000000000000421","BEIGNET CHOCOLAT","9000","3600"
"000000000000000422","BEIGNET NATURE","13000","3900"
"000000000000000424","BEIGNET CONFITURE","29000","11600"
"000000000000000427","CINNAMON CANNELLE","7000","3850"
"000000000000000428","CHASSON FROMAGE","23000","18400"
"","ALL TOTAL","2748.800","9043.00"

"Numéro de Ticket","Numéro de rapport X","Numéro de rapport Z1","Numéro de rapport Z2"
"122","55","3","0"
